detail_id,order_id,product_id,quantity,discount,sales_amount
1,2300,809,1,17,4115.14
2,6105,488,3,9,30242.94
3,6399,479,2,16,104245.68
4,1930,127,4,24,104290.24
5,3614,538,3,20,10852.8
6,6600,39,4,22,202363.2
7,7186,497,4,20,122534.4
8,9931,200,4,4,72499.2
9,9231,346,1,15,11660.3
10,9260,243,3,18,150492.96
11,7056,87,4,8,49860.32
12,9263,326,4,22,36572.64
13,9915,399,4,9,2467.92
14,8318,998,4,0,28488.0
15,4899,524,4,14,169364.96
16,5280,963,3,0,50316.0
17,2236,662,1,11,10024.96
18,8349,421,1,26,44692.3
19,4833,753,2,29,2550.32
20,514,670,5,4,54801.6
21,8938,813,5,20,106572.0
22,6214,482,5,6,200727.6
23,3075,337,3,8,71412.24
24,306,852,1,3,9241.19
25,2751,793,3,18,68220.72
26,1190,640,3,19,138356.91
27,2897,660,2,23,109068.96
28,7500,868,5,17,5872.25
29,4759,995,5,13,78369.6
30,4946,126,5,4,127166.4
31,2944,129,4,16,116598.72
32,1113,845,5,27,282086.6
33,3902,540,4,15,149678.2
34,3963,891,3,12,30647.76
35,3981,35,2,7,23158.86
36,9631,750,3,25,84568.5
37,8140,555,5,17,65005.6
38,7026,731,1,18,1422.7
39,4071,314,1,27,41624.6
40,6540,287,4,17,69826.24
41,7426,494,5,11,70706.05
42,8537,264,2,11,115011.14
43,2841,226,1,1,15574.68
44,3142,456,4,20,154102.4
45,2734,480,5,23,62554.8
46,290,90,1,16,48888.0
47,471,411,1,25,21388.5
48,5710,57,5,14,130277.1
49,8544,884,4,23,185009.44
50,9634,114,4,30,95760.0
51,7829,442,5,15,174207.5
52,5974,718,4,1,45939.96
53,8763,783,5,13,284155.05
54,8550,704,2,15,86392.3
55,3613,437,4,13,199511.88
56,3318,941,4,12,211907.52
57,8370,6,2,24,67617.2
58,6362,342,2,3,136486.76
59,1591,749,2,11,38537.0
60,9789,77,2,20,9208.0
61,4108,78,3,26,168373.68
62,8655,424,1,20,10024.0
63,65,449,3,14,1836.96
64,5755,807,3,9,142290.33
65,9218,598,5,20,87980.0
66,1939,227,2,10,33953.4
67,9004,135,1,4,54703.68
68,7307,538,2,23,6963.88
69,8335,823,3,8,157527.0
70,2535,824,1,21,31210.53
71,5949,46,2,11,98674.3
72,3982,64,5,7,286151.7
73,6434,271,5,29,10131.7
74,4551,796,1,0,37597.0
75,2862,641,2,17,109437.16
76,5274,871,2,16,100949.52
77,5916,689,5,0,24430.0
78,527,598,2,23,33872.3
79,4506,439,4,27,196282.4
80,1260,578,1,29,33586.55
81,2522,455,1,27,35175.78
82,3204,754,4,23,13712.16
83,1571,389,1,17,60902.91
84,1934,599,1,23,27319.6
85,8563,365,4,14,48782.64
86,552,990,1,9,10523.24
87,7505,217,5,11,207111.9
88,3980,307,1,11,622.11
89,2297,912,2,7,4447.26
90,6913,223,5,24,237344.2
91,4226,572,4,28,76331.52
92,3827,675,3,0,168090.0
93,9661,519,4,0,286900.0
94,5026,370,4,1,12719.52
95,8761,68,2,19,21465.0
96,7073,756,2,30,100951.2
97,1612,662,2,11,20049.92
98,9608,856,3,19,110312.28
99,3205,521,4,8,91205.12
100,9167,596,5,3,174507.85
101,4949,928,2,25,90982.5
102,1231,575,2,7,35326.98
103,1132,274,2,15,72994.6
104,5246,655,5,21,259175.3
105,769,421,4,15,205343.0
106,5013,716,5,28,161899.2
