order_id,customer_id,order_date,order_status,total_amount,payment_status
1,678,2026-04-25,Cancelled,36508,Failed
2,983,2024-10-22,Delivered,38451,Paid
3,407,2026-03-17,Returned,29760,Paid
4,743,2024-07-20,Confirmed,34275,Refunded
5,764,2025-10-05,Returned,35484,Refunded
6,716,2026-01-18,Delivered,24611,Refunded
7,274,2024-10-28,Delivered,13435,Failed
8,474,2024-10-16,Confirmed,8744,Paid
9,342,2025-03-01,Confirmed,13145,Refunded
10,862,2026-04-23,Confirmed,24808,Paid
11,854,2026-01-13,Confirmed,16939,Pending
12,335,2026-04-18,Pending,32190,Refunded
13,518,2025-05-28,Pending,49317,Refunded
14,346,2024-12-05,Delivered,6237,Failed
15,221,2025-03-18,Cancelled,17621,Failed
16,637,2024-12-14,Confirmed,4679,Refunded
17,952,2026-01-23,Pending,23996,Failed
18,606,2025-12-06,Cancelled,26611,Refunded
19,139,2026-02-10,Delivered,28985,Paid
20,487,2025-10-21,Confirmed,21055,Failed
21,616,2025-03-30,Delivered,24122,Pending
22,338,2025-06-04,Shipped,17679,Failed
23,241,2025-04-26,Confirmed,13928,Paid
24,368,2025-10-20,Shipped,25369,Pending
25,168,2025-07-29,Shipped,36704,Refunded
26,232,2026-03-16,Pending,15186,Paid
27,828,2026-06-30,Pending,38443,Pending
28,709,2025-07-10,Cancelled,10507,Failed
29,530,2025-07-02,Cancelled,12002,Refunded
30,843,2026-06-06,Pending,43297,Pending
31,429,2025-02-20,Delivered,42560,Refunded
32,8,2026-04-06,Confirmed,25882,Failed
33,701,2025-12-31,Returned,36143,Pending
34,829,2024-12-22,Pending,48716,Pending
35,504,2026-05-17,Confirmed,7798,Pending
36,77,2024-10-28,Shipped,10517,Paid
37,845,2024-10-20,Shipped,22147,Pending
38,473,2025-04-16,Pending,8627,Failed
39,85,2025-07-07,Shipped,1216,Pending
40,846,2024-11-26,Shipped,34955,Pending
41,209,2025-10-31,Delivered,7286,Paid
42,48,2024-10-29,Shipped,30739,Paid
43,61,2026-04-20,Pending,30554,Failed
44,482,2025-08-21,Pending,2355,Paid
45,397,2025-07-15,Returned,6158,Refunded
46,209,2025-12-09,Returned,27857,Failed
47,738,2025-01-28,Returned,16915,Refunded
48,668,2025-10-03,Confirmed,48096,Refunded
